checked_at,pos_id,state_file,user_id,coin,domestic,foreign,entry_krw,domestic_entry_krw,foreign_entry_krw,domestic_qty,domestic_locked,domestic_bid,domestic_value_krw,foreign_amount,foreign_notional_usdt,foreign_value_krw,foreign_side,classification,error
2026-05-30 00:25:38,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,962.42150199,0.0,47.86,46061.4931,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:25:43,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,48.05,7281.8818,146.37,4.81,7258.29,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:25:46,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 00:25:49,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,147.0,381.6346,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 00:25:53,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,47.87,9064.3837,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:25:56,POS_SAHARA_BITHUMB_MEXC_1779949622_6870367623_1779949624,semi_auto_state_mexc.json,6870367623,SAHARA,BITHUMB,MEXC,100000,100000,100000,962.42150199,0.0,47.87,46071.1173,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:25:59,POS_SAHARA_BITHUMB_GATE_1780063712_6870367623_1780063723,semi_auto_state_gate.json,6870367623,SAHARA,BITHUMB,GATE,39000,39000,39000,962.42150199,0.0,47.87,46071.1173,7.0,23.142,34921.278,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:26:04,POS_SAHARA_BITHUMB_BITGET_1780060948_8958522411_1780060964,semi_auto_state_bitget.json,8958522411,SAHARA,BITHUMB,BITGET,9000,9000,9000,189.35416064,0.0,47.87,9064.3837,182.0,6.00964,9068.5468,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:26:06,POS_BILL_BITHUMB_BITGET_1780067855_8958522411_1780067870,semi_auto_state_bitget.json,8958522411,BILL,BITHUMB,BITGET,9000,9000,9000,84.90566037,0.0,105.0,8915.0943,82.0,5.93024,8948.7322,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:32:43,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,962.42150199,0.0,48.08,46273.2258,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:32:46,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,48.63,7369.7796,146.37,4.86,7333.74,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:32:49,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 00:32:52,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,148.0,384.2308,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 00:32:55,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,48.08,9104.148,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:32:57,POS_SAHARA_BITHUMB_MEXC_1779949622_6870367623_1779949624,semi_auto_state_mexc.json,6870367623,SAHARA,BITHUMB,MEXC,100000,100000,100000,962.42150199,0.0,48.08,46273.2258,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 00:33:02,POS_SAHARA_BITHUMB_GATE_1780063712_6870367623_1780063723,semi_auto_state_gate.json,6870367623,SAHARA,BITHUMB,GATE,39000,39000,39000,962.42150199,0.0,48.07,46263.6016,7.0,23.275,35121.975,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:33:08,POS_SAHARA_BITHUMB_BITGET_1780060948_8958522411_1780060964,semi_auto_state_bitget.json,8958522411,SAHARA,BITHUMB,BITGET,9000,9000,9000,189.35416064,0.0,48.07,9102.2545,182.0,6.04604,9123.4744,short,정상_ACTIVE(국내O/해외O),
2026-05-30 00:33:10,POS_BILL_BITHUMB_BITGET_1780067855_8958522411_1780067870,semi_auto_state_bitget.json,8958522411,BILL,BITHUMB,BITGET,9000,9000,9000,84.90566037,0.0,105.0,8915.0943,82.0,5.97452,9015.5507,short,정상_ACTIVE(국내O/해외O),
2026-05-30 01:05:59,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,962.42150199,0.0,47.74,45946.0025,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 01:06:05,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,48.53,7354.6248,146.37,4.87,7348.83,short,정상_ACTIVE(국내O/해외O),
2026-05-30 01:06:10,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 01:06:13,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,151.0,392.0192,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 01:06:16,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,47.75,9041.6612,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 01:06:19,POS_SAHARA_BITHUMB_MEXC_1779949622_6870367623_1779949624,semi_auto_state_mexc.json,6870367623,SAHARA,BITHUMB,MEXC,100000,100000,100000,962.42150199,0.0,47.75,45955.6267,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 01:06:24,POS_SAHARA_BITHUMB_GATE_1780063712_6870367623_1780063723,semi_auto_state_gate.json,6870367623,SAHARA,BITHUMB,GATE,39000,39000,39000,962.42150199,0.0,47.75,45955.6267,7.0,23.1,34857.9,short,정상_ACTIVE(국내O/해외O),
2026-05-30 01:06:32,POS_SAHARA_BITHUMB_BITGET_1780060948_8958522411_1780060964,semi_auto_state_bitget.json,8958522411,SAHARA,BITHUMB,BITGET,9000,9000,9000,189.35416064,0.0,47.74,9039.7676,182.0,6.00236,9057.5612,short,정상_ACTIVE(국내O/해외O),
2026-05-30 01:06:35,POS_BILL_BITHUMB_BITGET_1780067855_8958522411_1780067870,semi_auto_state_bitget.json,8958522411,BILL,BITHUMB,BITGET,9000,9000,9000,84.90566037,0.0,104.0,8830.1887,82.0,5.90974,8917.7977,short,정상_ACTIVE(국내O/해외O),
2026-05-30 01:06:53,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,962.42150199,0.0,47.75,45955.6267,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 01:06:57,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,48.59,7363.7177,146.37,4.87,7348.83,short,정상_ACTIVE(국내O/해외O),
2026-05-30 01:07:00,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 01:07:02,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,152.0,394.6154,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 01:07:05,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,47.75,9041.6612,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 01:07:07,POS_SAHARA_BITHUMB_MEXC_1779949622_6870367623_1779949624,semi_auto_state_mexc.json,6870367623,SAHARA,BITHUMB,MEXC,100000,100000,100000,962.42150199,0.0,47.84,46042.2447,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 01:07:11,POS_SAHARA_BITHUMB_GATE_1780063712_6870367623_1780063723,semi_auto_state_gate.json,6870367623,SAHARA,BITHUMB,GATE,39000,39000,39000,962.42150199,0.0,47.78,45984.4994,7.0,23.114,34879.026,short,정상_ACTIVE(국내O/해외O),
2026-05-30 01:07:16,POS_SAHARA_BITHUMB_BITGET_1780060948_8958522411_1780060964,semi_auto_state_bitget.json,8958522411,SAHARA,BITHUMB,BITGET,9000,9000,9000,189.35416064,0.0,47.78,9047.3418,182.0,6.00964,9068.5468,short,정상_ACTIVE(국내O/해외O),
2026-05-30 01:07:18,POS_BILL_BITHUMB_BITGET_1780067855_8958522411_1780067870,semi_auto_state_bitget.json,8958522411,BILL,BITHUMB,BITGET,9000,9000,9000,84.90566037,0.0,104.0,8830.1887,82.0,5.9122,8921.5098,short,정상_ACTIVE(국내O/해외O),
2026-05-30 09:52:42,POS_SAHARA_BITHUMB_BINGX_1780025990_6870367623_1780026002,semi_auto_state_bingx.json,6870367623,SAHARA,BITHUMB,BINGX,7000,7000,7000,823.42150199,0.0,48.14,39639.5111,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 09:52:46,POS_PROMPT_BITHUMB_BINGX_1780028512_6870367623_1780028521,semi_auto_state_bingx.json,6870367623,PROMPT,BITHUMB,BINGX,7000,7000,7000,151.5480082,0.0,49.09,7439.4917,146.37,4.89,7379.01,short,정상_ACTIVE(국내O/해외O),
2026-05-30 09:52:48,POS_IN_BITHUMB_BINGX_1780041228_6870367623_1780041242,semi_auto_state_bingx.json,6870367623,IN,BITHUMB,BINGX,7000,7000,7000,500.0,0.0,153.0,76500.0,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 09:52:52,POS_IN_BITHUMB_BINGX_1780059191_8958522411_1780059199,semi_auto_state_bingx.json,8958522411,IN,BITHUMB,BINGX,9000,9000,9000,2.59615385,0.0,153.0,397.2115,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 09:52:54,POS_SAHARA_BITHUMB_BINGX_1780060953_8958522411_1780060963,semi_auto_state_bingx.json,8958522411,SAHARA,BITHUMB,BINGX,9000,9000,9000,189.35416064,0.0,48.14,9115.5093,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 09:52:57,POS_SAHARA_BITHUMB_MEXC_1779949622_6870367623_1779949624,semi_auto_state_mexc.json,6870367623,SAHARA,BITHUMB,MEXC,100000,100000,100000,823.42150199,0.0,48.14,39639.5111,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 09:53:01,POS_NIL_BITHUMB_MEXC_1780084333_6870367623_1780084342,semi_auto_state_mexc.json,6870367623,NIL,BITHUMB,MEXC,39000,39000,39000,9.30254139,0.0,94.15,875.8343,0.0,0.0,0.0,NONE,비대칭(국내O/해외X)-국내현물만 남음,
2026-05-30 09:53:05,POS_IN_BITHUMB_MEXC_1780088115_6870367623_1780088128,semi_auto_state_mexc.json,6870367623,IN,BITHUMB,MEXC,39000,39000,39000,500.0,0.0,153.0,76500.0,24.0,2.58624414,3902.6424,short,정상_ACTIVE(국내O/해외O),
2026-05-30 09:53:09,POS_SAHARA_BITHUMB_GATE_1780063712_6870367623_1780063723,semi_auto_state_gate.json,6870367623,SAHARA,BITHUMB,GATE,39000,39000,39000,823.42150199,0.0,48.18,39672.448,7.0,23.177,34974.093,short,정상_ACTIVE(국내O/해외O),
2026-05-30 09:53:14,POS_SAHARA_BITHUMB_BITGET_1780060948_8958522411_1780060964,semi_auto_state_bitget.json,8958522411,SAHARA,BITHUMB,BITGET,9000,9000,9000,189.35416064,0.0,48.15,9117.4028,182.0,6.02238,9087.7714,short,정상_ACTIVE(국내O/해외O),
2026-05-30 09:53:16,POS_BILL_BITHUMB_BITGET_1780067855_8958522411_1780067870,semi_auto_state_bitget.json,8958522411,BILL,BITHUMB,BITGET,9000,9000,9000,0.4245283,0.0,103.0,43.7264,0.0,0.0,0.0,NONE,유령후보(국내X/해외X),
2026-05-30 09:53:18,POS_IN_BITHUMB_BITGET_1780082202_6870367623_1780082208,semi_auto_state_bitget.json,6870367623,IN,BITHUMB,BITGET,39000,39000,39000,500.0,0.0,153.0,76500.0,242.0,25.531,38526.279,short,정상_ACTIVE(국내O/해외O),
